ARMAS NOVAS EM 2010 POR CATEGORIA E UF;;;;;;;;;;;;;;
UF;CATEGORIA;JANEIRO;FEVEREIRO ;MARÇO;ABRIL;MAIO;JUNHO;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL
;Segurança Pública;49;1275;29;99;295;74;303;63;53;0;1883;40;4163
;Segurança Privada;1;0;0;0;2;11;0;0;5;7;0;10;36
;Órgão Público;0;248;5;0;0;0;0;0;0;0;267;0;520
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;66;1557;85;150;297;89;305;69;67;16;2161;68;4930
;TOTAL DE REGISTROS EXPEDIDOS;36645;2785;7932;3711;753;770;553;331;217;194;345;331;54567
ES;Pessoa física;28;48;42;49;61;29;47;55;38;52;80;55;584
;Segurança Pública;0;0;420;0;0;0;90;0;0;0;3;0;513
;Segurança Privada;1;0;0;0;4;0;0;0;0;6;0;0;11
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;29;48;462;49;65;29;137;55;38;58;83;55;1108
;TOTAL DE REGISTROS EXPEDIDOS;986;1155;1224;3083;2096;3206;115;78;110;61;65;158;12337
GO;Pessoa física;7;20;17;46;27;30;23;80;47;67;42;41;447
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;0;0;0;1;0;0;0;0;2;0;22;25
;Órgão Público;0;0;0;0;0;0;0;0;0;0;1;0;1
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;7;20;17;46;28;30;23;80;47;69;43;63;473
;TOTAL DE REGISTROS EXPEDIDOS;841;1304;4161;2737;987;546;580;1760;1407;1564;3556;938;20381
MA;Pessoa física;3;0;2;4;2;1;0;0;0;0;0;7;19
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;0;0;38;0;0;0;0;0;20;0;0;0;58
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;3;0;40;4;2;1;0;0;20;0;0;7;77
;TOTAL DE REGISTROS EXPEDIDOS;1487;452;737;472;795;1992;1042;179;261;770;2023;419;10629
MG;Pessoa física;42;24;74;87;103;80;80;113;88;94;112;126;1023
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;71;0;1;0;1;0;0;16;28;0;5;7;129
;Órgão Público;1;0;0;0;0;0;0;0;200;0;34;45;280
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;1;0;0;0;0;0;0;1
;TOTAL DE REGISTROS DE ARMAS NOVAS;114;24;75;87;104;81;80;129;316;94;151;178;1433
;TOTAL DE REGISTROS EXPEDIDOS;5094;2635;5341;7506;13131;18810;5812;2137;622;503;1902;1307;64800
MS;Pessoa física;1;2;0;0;0;1;1;0;1;1;1;2;10
;Segurança Pública;0;0;0;0;0;0;0;0;27;0;0;0;27
;Segurança Privada;0;0;0;0;0;0;1;0;0;0;2;0;3
;Órgão Público;0;0;0;0;0;0;0;0;0;0;5;0;5
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;1;2;0;0;0;1;2;0;28;1;8;2;45
;TOTAL DE REGISTROS EXPEDIDOS;1186;337;941;4541;75;617;129;194;1129;80;792;255;10276
MT;Pessoa física;0;2;4;3;4;3;1;4;7;3;2;4;37
;Segurança Pública;0;0;0;0;0;0;0;9;0;0;0;0;9
;Segurança Privada;0;0;0;0;0;3;26;0;0;4;0;0;33
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;2;4;3;4;6;27;13;7;7;2;4;79
;TOTAL DE REGISTROS EXPEDIDOS;3114;2517;4353;5780;2943;3142;1214;44;79;30;30;38;23284
PA;Pessoa física;6;1;4;6;17;8;5;11;14;9;3;7;91
;Segurança Pública;0;1;0;0;0;0;0;0;0;0;0;0;1
;Segurança Privada;0;0;9;13;10;6;31;0;5;0;12;0;86
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;4;0;0;0;0;0;0;4
;Outros Tipos;0;4;0;0;0;0;0;0;0;9;0;0;13
;TOTAL DE REGISTROS DE ARMAS NOVAS;6;6;13;19;27;18;36;11;19;18;15;7;195
;TOTAL DE REGISTROS EXPEDIDOS;607;826;1044;881;713;1394;1945;3818;1179;5453;5057;1278;24195
PB;Pessoa física;1;1;2;1;6;0;2;1;1;2;13;2;32
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;9;0;0;0;0;0;0;3;10;0;7;0;29
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;3;0;3
;TOTAL DE REGISTROS DE ARMAS NOVAS;10;1;2;1;6;0;2;4;11;2;23;2;64
;TOTAL DE REGISTROS EXPEDIDOS;188;1474;1481;108;611;341;465;657;112;53;64;44;5598
PE;Pessoa física;14;18;17;39;27;15;6;25;16;7;18;8;210
;Segurança Pública;0;329;0;0;0;0;0;0;0;0;57;0;386
;Segurança Privada;0;0;9;7;5;0;0;0;79;9;0;0;109
;Órgão Público;0;30;0;0;0;0;0;0;0;0;0;98;128
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;3;0;0;3
;TOTAL DE REGISTROS DE ARMAS NOVAS;14;377;26;46;32;15;6;25;95;19;75;106;836
;TOTAL DE REGISTROS EXPEDIDOS;239;134;309;1151;1162;478;341;532;1254;695;2281;863;9439
PI;Pessoa física;0;0;3;2;12;1;5;2;3;3;3;5;39
;Segurança Pública;0;2;0;0;0;0;0;0;0;0;0;0;2
;Segurança Privada;0;0;0;19;6;4;8;2;0;0;9;16;64
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;2;0;0;0;0;0;2
;Outros Tipos;0;0;0;0;0;0;0;20;0;0;0;0;20
;TOTAL DE REGISTROS DE ARMAS NOVAS;0;2;3;21;18;5;15;24;3;3;12;21;127
;TOTAL DE REGISTROS EXPEDIDOS;1211;632;4680;188;251;27;23;24;22;14;14;14;7100
PR;Pessoa física;150;104;141;116;150;136;142;135;222;192;136;93;1717
;Segurança Pública;0;3;0;0;0;0;0;0;0;0;0;0;3
;Segurança Privada;23;39;27;60;74;41;19;0;50;80;36;58;507
;Órgão Público;0;0;0;100;0;102;283;54;37;0;0;3;579
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;2;0;0;2
;TOTAL DE REGISTROS DE ARMAS NOVAS;173;146;168;276;224;279;444;189;309;274;172;154;2808
;TOTAL DE REGISTROS EXPEDIDOS;6005;4880;6553;6262;5311;5338;5944;4722;4081;4316;11485;8725;73622
RJ;Pessoa física;58;22;84;77;190;155;155;213;172;171;118;227;1642
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;21;24;36;9;6;2;0;133;19;10;6;11;277
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;1;0;0;0;0;0;1
;Outros Tipos;0;0;0;0;0;0;0;3;0;0;0;10;13
;TOTAL DE REGISTROS DE ARMAS NOVAS;79;46;120;86;196;157;156;349;191;181;124;248;1933
;TOTAL DE REGISTROS EXPEDIDOS;2245;2572;2556;804;1072;2860;1779;3789;3173;2199;2714;2146;27909
RN;Pessoa física;7;3;6;4;5;4;8;17;31;22;48;21;176
;Segurança Pública;0;0;0;0;0;0;0;0;0;0;0;0;0
;Segurança Privada;17;4;9;0;0;0;0;0;0;0;7;42;79
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;24;7;15;4;5;4;8;17;31;22;55;63;255
;TOTAL DE REGISTROS EXPEDIDOS;268;795;815;791;489;1069;920;248;56;112;38;33;5634
RO;Pessoa física;3;2;5;11;14;11;11;16;27;17;14;13;144
;Segurança Pública;0;2;0;0;0;0;0;6;0;0;0;0;8
;Segurança Privada;0;0;0;0;0;0;0;0;6;0;0;0;6
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;3;4;5;11;14;11;11;22;33;17;14;13;158
;TOTAL DE REGISTROS EXPEDIDOS;1000;340;804;705;1237;895;1325;1807;1097;1403;856;100;11569
RR;Pessoa física;1;0;2;0;1;0;1;0;2;3;0;0;10
;Segurança Pública;0;1;0;0;0;0;0;0;0;0;0;0;1
;Segurança Privada;0;0;0;0;0;0;0;0;0;0;0;0;0
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;1;1;2;0;1;0;1;0;2;3;0;0;11
;TOTAL DE REGISTROS;32;74;481;838;234;338;1855;1063;289;79;239;104;5626
RS;Pessoa física;39;137;110;87;165;159;170;217;276;258;173;226;2017
;Segurança Pública;0;4;0;0;0;1;0;0;0;0;0;0;5
;Segurança Privada;1;5;16;19;8;14;0;0;14;11;11;6;105
;Órgão Público;0;78;28;0;0;0;0;5;0;0;93;30;234
;Loja de Arma;0;0;0;1;0;0;0;0;0;0;0;0;1
;Outros Tipos;0;0;0;0;0;0;0;0;0;6;0;4;10
;TOTAL DE REGISTROS DE ARMAS NOVAS;40;224;154;107;173;174;170;222;290;275;277;266;2372
;TOTAL DE REGISTROS EXPEDIDOS;9912;10421;20931;20204;14051;12199;7764;5543;1762;2817;5709;3022;114335
SC;Pessoa física;89;39;64;63;75;73;179;144;163;143;159;128;1319
;Segurança Pública;0;0;0;0;2;0;0;0;0;0;0;0;2
;Segurança Privada;10;9;9;26;8;10;7;0;3;42;22;109;255
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;99;48;73;89;85;83;186;144;166;185;181;237;1576
;TOTAL DE REGISTROSTOTAL DE REGISTROS EXPEDIDOS;3843;3302;5629;7605;6489;3849;2389;1152;693;838;1550;175;37514
SE;Pessoa física;7;4;3;3;1;3;8;10;1;5;7;9;61
;Segurança Pública;0;1;0;0;0;0;0;0;0;0;0;0;1
;Segurança Privada;0;0;0;0;0;13;21;0;2;23;0;10;69
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;7;5;3;3;1;16;29;10;3;28;7;19;131
;TOTAL DE REGISTROS;15;2;131;352;306;233;343;746;71;15;370;13;2597
SP;Pessoa física;104;27;19;33;60;40;36;31;74;53;77;71;625
;Segurança Pública;0;1;4;0;0;0;0;0;0;199;0;0;204
;Segurança Privada;20;43;66;49;112;40;14;9;79;116;50;99;697
;Órgão Público;117;16;0;43;36;0;0;1;20;5;18;62;318
;Loja de Arma;0;0;0;0;0;0;0;0;0;4;0;0;4
;Outros Tipos;13;0;0;0;0;0;0;0;0;0;0;0;13
;TOTAL DE REGISTROS DE ARMAS NOVAS;254;87;89;125;208;80;50;41;173;377;145;232;1861
;TOTAL DE REGISTROS EXPEDIDOS;4815;3333;12728;14640;17818;15590;16239;23944;19745;9636;9258;3922;151668
TO;Pessoa física;1;1;5;3;4;5;1;9;4;4;6;8;51
;Segurança Pública;0;0;0;0;0;0;2;0;34;0;2;0;38
;Segurança Privada;0;0;0;2;5;9;10;0;0;0;0;18;44
;Órgão Público;0;0;0;0;0;0;0;0;0;0;0;0;0
;Loja de Arma;0;0;0;0;0;0;0;0;0;0;0;0;0
;Outros Tipos;0;0;0;0;0;0;0;0;0;0;0;0;0
;TOTAL DE REGISTROS DE ARMAS NOVAS;1;1;5;5;9;14;13;9;38;4;8;26;133
;TOTAL DE REGISTROS EXPEDIDOS;5;2;10;20;214;95;162;352;599;204;2510;1829;6002
TODAS;TOTAL GERAL DE ARMAS NOVAS;1080;2691;1561;1279;1749;1181;1827;1571;2044;1832;3641;2078;22534
TODAS;TOTAL GERAL DE REGISTROS EXPEDIDOS;84504;43773;87486;85524;75201;78264;54583;58167;40696;33595;53514;30769;726076
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
