index,UF,CATEGORIA,JANEIRO,FEVEREIRO,MARÇO,ABRIL,MAIO,JUNHO,JULHO,AGOSTO,SETEMBRO,OUTUBRO,NOVEMBRO,DEZEMBRO,TOTAL,ANO,NOVA_CATEGORIA
28,BA,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2009,
29,BA,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
30,CE,Pessoa física,9.0,25.0,19.0,31.0,11.0,21.0,23.0,17.0,12.0,13.0,40.0,15.0,236.0,2009,
31,CE,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
32,CE,Segurança Privada,0.0,0.0,1.0,0.0,0.0,19.0,37.0,28.0,8.0,0.0,0.0,2.0,95.0,2009,
33,CE,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
34,CE,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
35,CE,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
36,DF,Pessoa física,14.0,8.0,5.0,17.0,8.0,7.0,14.0,27.0,21.0,16.0,36.0,49.0,222.0,2009,
37,DF,Segurança Pública,300.0,0.0,271.0,195.0,167.0,0.0,294.0,1462.0,199.0,0.0,260.0,0.0,3148.0,2009,
38,DF,Segurança Privada,1.0,0.0,6.0,0.0,1.0,0.0,10.0,34.0,2.0,2.0,5.0,0.0,61.0,2009,
39,DF,Órgão Público,0.0,0.0,0.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,2009,
40,DF,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
41,DF,Outros Tipos,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,2009,
42,ES,Pessoa física,7.0,9.0,4.0,7.0,12.0,8.0,8.0,18.0,52.0,20.0,42.0,39.0,226.0,2009,
43,ES,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
44,ES,Segurança Privada,0.0,0.0,49.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,2009,
45,ES,Órgão Público,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009,
46,ES,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
47,ES,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
48,GO,Pessoa física,7.0,3.0,4.0,7.0,24.0,16.0,10.0,14.0,25.0,15.0,22.0,33.0,180.0,2009,
49,GO,Segurança Pública,2.0,0.0,0.0,0.0,31.0,0.0,136.0,0.0,0.0,199.0,395.0,396.0,1159.0,2009,
50,GO,Segurança Privada,0.0,0.0,5.0,10.0,0.0,12.0,15.0,0.0,0.0,0.0,10.0,27.0,79.0,2009,
51,GO,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
52,GO,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
53,GO,Outros Tipos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2009,
54,MA,Pessoa física,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,2009,
55,MA,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
56,MA,Segurança Privada,0.0,0.0,0.0,0.0,3.0,0.0,9.0,16.0,2.0,0.0,0.0,0.0,30.0,2009,
57,MA,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
58,MA,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
59,MA,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
60,MG,Pessoa física,47.0,60.0,69.0,57.0,56.0,82.0,90.0,77.0,76.0,56.0,63.0,62.0,795.0,2009,
61,MG,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
62,MG,Segurança Privada,0.0,1.0,48.0,26.0,17.0,82.0,26.0,5.0,16.0,0.0,3.0,20.0,244.0,2009,
63,MG,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
64,MG,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
65,MG,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
66,MS,Pessoa física,1.0,3.0,22.0,18.0,10.0,1.0,1.0,3.0,21.0,8.0,1.0,1.0,90.0,2009,
67,MS,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
68,MS,Segurança Privada,0.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0,6.0,0.0,0.0,0.0,35.0,2009,
69,MS,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
70,MS,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
71,MS,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
72,MT,Pessoa física,4.0,6.0,4.0,1.0,4.0,6.0,9.0,2.0,1.0,2.0,2.0,1.0,42.0,2009,
73,MT,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
74,MT,Segurança Privada,10.0,35.0,0.0,0.0,0.0,1.0,31.0,20.0,19.0,0.0,0.0,6.0,122.0,2009,
75,MT,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
76,MT,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
77,MT,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
78,PA,Pessoa física,4.0,4.0,4.0,3.0,3.0,9.0,1.0,6.0,3.0,8.0,10.0,5.0,60.0,2009,
79,PA,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,30.0,2009,
80,PA,Segurança Privada,0.0,2.0,19.0,0.0,0.0,0.0,0.0,1.0,12.0,37.0,0.0,0.0,71.0,2009,
81,PA,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
82,PA,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,2009,
83,PA,Outros Tipos,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2009,
84,PB,Pessoa física,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,0.0,12.0,2009,
85,PB,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
86,PB,Segurança Privada,0.0,0.0,0.0,0.0,47.0,0.0,8.0,4.0,7.0,0.0,0.0,0.0,66.0,2009,
87,PB,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
88,PB,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2009,
89,PB,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
90,PE,Pessoa física,10.0,8.0,10.0,17.0,8.0,5.0,20.0,17.0,15.0,15.0,20.0,40.0,185.0,2009,
91,PE,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
92,PE,Segurança Privada,5.0,0.0,0.0,0.0,12.0,0.0,81.0,148.0,0.0,0.0,0.0,0.0,246.0,2009,
93,PE,Órgão Público,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2009,
94,PE,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
95,PE,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
96,PI,Pessoa física,4.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,18.0,2009,
97,PI,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
98,PI,Segurança Privada,6.0,0.0,0.0,0.0,62.0,1.0,1.0,33.0,0.0,0.0,7.0,2.0,112.0,2009,
99,PI,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
100,PI,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
101,PI,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
102,PR,Pessoa física,48.0,83.0,112.0,102.0,123.0,134.0,151.0,146.0,172.0,157.0,152.0,132.0,1512.0,2009,
103,PR,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
104,PR,Segurança Privada,8.0,16.0,8.0,44.0,10.0,41.0,49.0,54.0,5.0,11.0,17.0,102.0,365.0,2009,
105,PR,Órgão Público,0.0,0.0,0.0,0.0,7.0,0.0,20.0,0.0,0.0,0.0,0.0,3.0,30.0,2009,
106,PR,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
107,PR,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,2009,
108,RJ,Pessoa física,83.0,66.0,89.0,77.0,76.0,97.0,35.0,44.0,64.0,49.0,37.0,50.0,767.0,2009,
109,RJ,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
110,RJ,Segurança Privada,0.0,63.0,12.0,13.0,31.0,60.0,76.0,30.0,28.0,19.0,31.0,5.0,368.0,2009,
111,RJ,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
112,RJ,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
113,RJ,Outros Tipos,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,2009,
114,RN,Pessoa física,6.0,2.0,3.0,1.0,7.0,3.0,3.0,4.0,11.0,4.0,6.0,5.0,55.0,2009,
115,RN,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
116,RN,Segurança Privada,5.0,0.0,117.0,1.0,31.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,161.0,2009,
117,RN,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
118,RN,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
119,RN,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
120,RO,Pessoa física,1.0,1.0,4.0,2.0,3.0,3.0,3.0,7.0,1.0,2.0,2.0,3.0,32.0,2009,
121,RO,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
122,RO,Segurança Privada,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,24.0,2009,
123,RO,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
124,RO,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
125,RO,Outros Tipos,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2009,
126,RR,Pessoa física,6.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,7.0,1.0,23.0,2009,
127,RR,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
128,RR,Segurança Privada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
129,RR,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
130,RR,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
131,RR,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
132,RS,Pessoa física,58.0,60.0,108.0,83.0,124.0,136.0,144.0,168.0,184.0,197.0,89.0,50.0,1401.0,2009,
133,RS,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2009,
134,RS,Segurança Privada,3.0,85.0,55.0,42.0,13.0,44.0,5.0,2.0,2.0,9.0,12.0,0.0,272.0,2009,
135,RS,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
136,RS,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
137,RS,Outros Tipos,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,2009,
138,SC,Pessoa física,38.0,68.0,112.0,104.0,115.0,124.0,91.0,78.0,113.0,91.0,98.0,51.0,1083.0,2009,
139,SC,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
140,SC,Segurança Privada,5.0,4.0,61.0,222.0,12.0,15.0,29.0,43.0,23.0,22.0,6.0,2.0,444.0,2009,
141,SC,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
142,SC,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
143,SC,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
144,SE,Pessoa física,2.0,1.0,0.0,0.0,0.0,2.0,8.0,9.0,10.0,4.0,7.0,4.0,47.0,2009,
145,SE,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
146,SE,Segurança Privada,1.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,51.0,2009,
147,SE,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
148,SE,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
149,SE,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
150,SP,Pessoa física,5.0,28.0,55.0,31.0,34.0,30.0,35.0,44.0,50.0,42.0,55.0,57.0,466.0,2009,
151,SP,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
152,SP,Segurança Privada,2.0,81.0,74.0,84.0,90.0,220.0,112.0,188.0,71.0,194.0,68.0,25.0,1209.0,2009,
153,SP,Órgão Público,0.0,0.0,3.0,2.0,59.0,0.0,5.0,78.0,0.0,14.0,20.0,98.0,279.0,2009,
154,SP,Loja de Arma,0.0,0.0,0.0,0.0,20.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,34.0,2009,
155,SP,Outros Tipos,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,2009,
156,TO,Pessoa física,1.0,0.0,4.0,8.0,3.0,2.0,2.0,3.0,7.0,4.0,5.0,2.0,41.0,2009,
157,TO,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,0.0,30.0,0.0,0.0,290.0,2009,
158,TO,Segurança Privada,0.0,0.0,8.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,2009,
159,TO,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
160,TO,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
161,TO,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009,
162,AC,Pessoa física,38.0,40.0,59.0,51.0,52.0,41.0,19.0,9.0,12.0,12.0,17.0,19.0,369.0,2010,
163,AC,Segurança Pública,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2010,
164,AC,Segurança Privada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
165,AC,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
166,AC,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
167,AC,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
168,AL,Pessoa física,7.0,1.0,23.0,16.0,17.0,11.0,14.0,12.0,14.0,13.0,15.0,15.0,158.0,2010,
169,AL,Segurança Pública,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,146.0,2010,
170,AL,Segurança Privada,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,21.0,2010,
171,AL,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
172,AL,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
173,AL,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
174,AM,Pessoa física,4.0,2.0,47.0,7.0,67.0,1.0,35.0,38.0,55.0,83.0,12.0,53.0,404.0,2010,
175,AM,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
176,AM,Segurança Privada,10.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,5.0,0.0,9.0,38.0,2010,
177,AM,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2010,
178,AM,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
179,AM,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
180,AP,Pessoa física,4.0,2.0,8.0,8.0,3.0,2.0,1.0,4.0,3.0,7.0,3.0,2.0,47.0,2010,
181,AP,Segurança Pública,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2010,
182,AP,Segurança Privada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
183,AP,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
184,AP,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
185,AP,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
186,BA,Pessoa física,22.0,5.0,12.0,31.0,50.0,10.0,31.0,35.0,25.0,34.0,14.0,19.0,288.0,2010,
187,BA,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,2010,
188,BA,Segurança Privada,41.0,1.0,13.0,8.0,0.0,0.0,1.0,11.0,10.0,11.0,0.0,5.0,101.0,2010,
189,BA,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
190,BA,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,10.0,2010,
191,BA,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
192,CE,Pessoa física,12.0,26.0,36.0,26.0,23.0,23.0,25.0,38.0,33.0,10.0,18.0,28.0,298.0,2010,
193,CE,Segurança Pública,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
194,CE,Segurança Privada,11.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2010,
195,CE,Órgão Público,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,2010,
196,CE,Loja de Arma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
197,CE,Outros Tipos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,
198,DF,Pessoa física,16.0,34.0,51.0,51.0,0.0,4.0,2.0,6.0,9.0,9.0,11.0,18.0,211.0,2010,
199,DF,Segurança Pública,49.0,1275.0,29.0,99.0,295.0,74.0,303.0,63.0,53.0,0.0,1883.0,40.0,4163.0,2010,
